lim-18-14-2-001	18.14.2 Fuel Temperature ▲: Maximum tank fuel temperature?	Maximum tank fuel temperature: 49 ° C.	B737 AOM Rev 9.0	Ch 18 §18.14.2 Fuel Temperature ▲		unverified common limits verbatim
lim-18-14-2-002	18.14.2 Fuel Temperature ▲: Tank fuel temperature prior to takeoff must not be less?	Tank fuel temperature prior to takeoff must not be less than -43°C or 3°C above the fuel freeze point, whichever is higher. Note: The use of fuel system icing inhibitor additives does not change the minimum fuel tank temperature limit.	B737 AOM Rev 9.0	Ch 18 §18.14.2 Fuel Temperature ▲		unverified common limits verbatim
