lim-18-10-6-001	18.10.6 Reverse Thrust ▲: Use for ground operations only.?	Use for ground operations only.	B737 AOM Rev 9.0	Ch 18 §18.10.6 Reverse Thrust ▲		unverified common limits
lim-18-10-6-002	18.10.6 Reverse Thrust ▲: Intentional selection of reverse thrust in flight is prohibited.?	Intentional selection of reverse thrust in flight is prohibited.	B737 AOM Rev 9.0	Ch 18 §18.10.6 Reverse Thrust ▲		unverified common limits
lim-18-10-6-003	18.10.6 Reverse Thrust ▲: Backing the aircraft with the reverse thrust is prohibited.?	Backing the aircraft with the reverse thrust is prohibited.	B737 AOM Rev 9.0	Ch 18 §18.10.6 Reverse Thrust ▲		unverified common limits
lim-18-10-6-004	18.10.6 Reverse Thrust ▲: Do not attempt go-around after thrust reverser deployment on landing.?	Do not attempt go-around after thrust reverser deployment on landing.	B737 AOM Rev 9.0	Ch 18 §18.10.6 Reverse Thrust ▲		unverified common limits
lim-18-10-6-005	18.10.6 Reverse Thrust ▲: Times (in minutes) 0°C 3 - 7°C 4 - 18°C?	Times (in minutes) 0°C 3 - 7°C 4 - 18°C 6 - 32°C 8 - 40°C 9 - 54°C 10	B737 AOM Rev 9.0	Ch 18 §18.10.6 Reverse Thrust ▲		unverified common limits verbatim
lim-18-10-6-006	18.10.6 Reverse Thrust ▲: Minimum Oil Quantity for Dispatch 3AA-3PX 12 quarts 3RA-3VM 14?	Minimum Oil Quantity for Dispatch 3AA-3PX 12 quarts 3RA-3VM 14 quarts	B737 AOM Rev 9.0	Ch 18 §18.10.6 Reverse Thrust ▲		unverified common limits verbatim
