lim-18-3-001	18.3 Aircraft General: The maximum aircraft capacity is not limited for all overwater?	The maximum aircraft capacity is not limited for all overwater flights requiring life rafts.	B737 AOM Rev 9.0	Ch 18 §18.3 Aircraft General		unverified common limits
lim-18-3-002	18.3 Aircraft General: 3AA-3UE?	3AA-3UE: 181 seats (172 passenger seats + 2 pilot seats + 1 observer seat + 6 FA jumpseats	B737 AOM Rev 9.0	Ch 18 §18.3 Aircraft General		unverified common limits verbatim
lim-18-3-003	18.3 Aircraft General: 3UF-3VM?	3UF-3VM: 182 seats (172 passenger seats + 2 pilot seats + 2 observer seats + 6	B737 AOM Rev 9.0	Ch 18 §18.3 Aircraft General		unverified common limits verbatim
lim-18-3-004	18.3 Aircraft General: FA jumpseats Life raft seating capacity is 193. This includes?	FA jumpseats Life raft seating capacity is 193. This includes all required flight crew, passengers, observers and non-working crew members. Infants and other children not occupying a seat are not counted towards this limitation.	B737 AOM Rev 9.0	Ch 18 §18.3 Aircraft General		unverified common limits verbatim
